nodeid,roleName,nodetype,,
501,software engineer,role,,
502,systems analyst,role,,
503,business analyst,role,,
504,technical support,role,,
505,network engineer,role,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
506,technical consultant,role,,
507,technical sales,role,,
508,project manager,role,,
509,web developer,role,,
510,software tester,role,,
511,java developer,role,,
512,analyst,role,,
513,cloud admin,role,,
514,web designer,role,,
515,ui designer,role,,
516,network engineer,role,,
517,network admin,role,,
518,blockchain developer,role,,
519,database engineer,role,,
520,data analyst,role,,
521,mobile app developer,role,,
522,tester,role,,
523,machine learning engineer,role,,
524,data engineer,role,,
525,dotnet developer,role,,
